Run	avgLength	Experiment	LibraryName	LibraryStrategy	LibraryLayout	Platform	Model	ScientificName
SRR521286	100	SRX159760	GSM961033:_aabys_mRNA	RNA-Seq	PAIRED	ILLUMINA	Illumina_HiSeq_2000	Musca_domestica
SRR521288	100	SRX159762	GSM961035:_ALHF2_mRNA	RNA-Seq	PAIRED	ILLUMINA	Illumina_HiSeq_2000	Musca_domestica
SRR521289	100	SRX159763	GSM961036:_ALHF3_mRNA	RNA-Seq	PAIRED	ILLUMINA	Illumina_HiSeq_2000	Musca_domestica
SRR521290	100	SRX159764	GSM961037:_CS_mRNA	RNA-Seq	PAIRED	ILLUMINA	Illumina_HiSeq_2000	Musca_domestica
SRR629516	200	SRX208995	2882693088	RNA-Seq	PAIRED	ILLUMINA	Illumina_HiSeq_2000	Musca_domestica
SRR629507	200	SRX208996	2875926454	RNA-Seq	PAIRED	ILLUMINA	Illumina_Genome_Analyzer_II	Musca_domestica
SRR629504	200	SRX208993	2875926334	RNA-Seq	PAIRED	ILLUMINA	Illumina_Genome_Analyzer_II	Musca_domestica
SRR629513	200	SRX208997	2875926470	RNA-Seq	PAIRED	ILLUMINA	Illumina_Genome_Analyzer_II	Musca_domestica
SRR629506	200	SRX208994	2875926335	RNA-Seq	PAIRED	ILLUMINA	Illumina_Genome_Analyzer_II	Musca_domestica
SRR924150	202	SRX316707	MDOM1	RNA-Seq	PAIRED	ILLUMINA	Illumina_HiSeq_2000	Musca_domestica
SRR1105786	200	SRX381027		RNA-Seq	PAIRED	ILLUMINA	Illumina_HiSeq_2000	Musca_domestica
SRR1045112	180	SRX386477		RNA-Seq	PAIRED	ILLUMINA	Illumina_HiSeq_2000	Musca_domestica
SRR2135514	198	SRX1124968	eggs	RNA-Seq	PAIRED	ILLUMINA	Illumina_HiSeq_2000	Musca_domestica
SRR2135515	198	SRX1130261	larvae	RNA-Seq	PAIRED	ILLUMINA	Illumina_HiSeq_2000	Musca_domestica
SRR2135010	198	SRX1130262	adults	RNA-Seq	PAIRED	ILLUMINA	Illumina_HiSeq_2000	Musca_domestica
SRR1802196	100	SRX876106		RNA-Seq	SINGLE	LS454	454_GS_FLX_Titanium	Musca_domestica
SRR1802199	100	SRX876109		RNA-Seq	SINGLE	LS454	454_GS_FLX_Titanium	Musca_domestica
SRR1802200	100	SRX876110		RNA-Seq	SINGLE	LS454	454_GS_FLX_Titanium	Musca_domestica
SRR1802194	100	SRX876104		RNA-Seq	SINGLE	LS454	454_GS_FLX_Titanium	Musca_domestica
SRR1802198	100	SRX876108		RNA-Seq	SINGLE	LS454	454_GS_FLX_Titanium	Musca_domestica
SRR1802197	100	SRX876107		RNA-Seq	SINGLE	LS454	454_GS_FLX_Titanium	Musca_domestica
SRR1802195	100	SRX876105		RNA-Seq	SINGLE	LS454	454_GS_FLX_Titanium	Musca_domestica
SRR1802201	100	SRX876111		RNA-Seq	SINGLE	LS454	454_GS_FLX_Titanium	Musca_domestica
